"subj","medianRT_homo","medianRT_hetro","propHomo"
"1","1",1.769,2.508,0.0784313725490196
"2","10",1.815,6.057,0.582802547770701
"3","11",1.634,1.925,0.115555555555556
"4","12",1.905,8.124,0.804459691252144
"5","13",1.54,1.9895,0.21280276816609
"6","15",1.763,2.955,0.177852348993289
"7","16",1.9435,7.165,0.485483870967742
"8","4",1.624,2.825,0.414965986394558
"9","6",1.594,1.873,0.0258780036968577
"10","7",1.704,2.293,0.159445407279029
"11","8",1.8555,4.904,0.635332252836305
"12","9",1.855,4.665,0.530959752321981
