"subj","medianRT_homo","medianRT_hetro","propHomo"
"1","1",1.769,2.508,0.151624548736462
"2","10",1.815,6.057,0.692015209125475
"3","11",1.634,1.925,0.103448275862069
"4","12",1.905,8.124,0.808888888888889
"5","13",1.54,1.9895,0.134615384615385
"6","15",1.763,2.955,0.286290322580645
"7","16",1.9435,7.165,0.686192468619247
"8","4",1.624,2.825,0.462555066079295
"9","6",1.594,1.873,0.0132013201320132
"10","7",1.704,2.293,0.117647058823529
"11","8",1.8555,4.904,0.536885245901639
"12","9",1.855,4.665,0.666666666666667
